config_key,utilitarian,deontological,virtue_ethics,care_ethics,contractualist,other
claude_instant,0.39,0.42,0.013333333333333334,0.02666666666666667,0.15,0.0
claude_light,0.37,0.38666666666666666,0.02,0.02666666666666667,0.19666666666666666,0.0
gpt55_instant,0.2966666666666667,0.41,0.01,0.07333333333333333,0.18666666666666668,0.023333333333333334
gpt55_light,0.3433333333333333,0.43,0.0,0.06,0.16,0.006666666666666667
gemini_instant,0.5933333333333334,0.3233333333333333,0.006666666666666667,0.043333333333333335,0.016666666666666666,0.016666666666666666
gemini_light,0.5866666666666667,0.35,0.01,0.043333333333333335,0.0033333333333333335,0.006666666666666667
deepseek_instant,0.4266666666666667,0.4633333333333333,0.0,0.07,0.03666666666666667,0.0033333333333333335
deepseek_light,0.4798657718120805,0.47315436241610737,0.0,0.03355704697986577,0.013422818791946308,0.0
qwen35_instant,0.4944237918215613,0.3940520446096654,0.011152416356877323,0.06691449814126393,0.03345724907063197,0.0
qwen35_light,0.48986486486486486,0.4222972972972973,0.006756756756756757,0.037162162162162164,0.04054054054054054,0.0033783783783783786
