config_key,category,confidence
claude_instant,cd,3.3
claude_instant,ds,3.977777777777778
claude_instant,mf,3.4266666666666667
claude_instant,pc,3.6666666666666665
claude_instant,tp,3.3777777777777778
claude_light,cd,3.3333333333333335
claude_light,ds,4.055555555555555
claude_light,mf,3.4133333333333336
claude_light,pc,3.683333333333333
claude_light,tp,3.3777777777777778
deepseek_instant,cd,4.433333333333334
deepseek_instant,ds,4.545454545454546
deepseek_instant,mf,4.426666666666667
deepseek_instant,pc,4.6
deepseek_instant,tp,4.4
deepseek_light,cd,4.033333333333333
deepseek_light,ds,4.322222222222222
deepseek_light,mf,4.213333333333333
deepseek_light,pc,4.466666666666667
deepseek_light,tp,4.3023255813953485
gemini_instant,cd,4.2
gemini_instant,ds,4.6
gemini_instant,mf,4.36
gemini_instant,pc,4.533333333333333
gemini_instant,tp,4.777777777777778
gemini_light,cd,4.233333333333333
gemini_light,ds,4.622222222222222
gemini_light,mf,4.306666666666667
gemini_light,pc,4.4
gemini_light,tp,4.688888888888889
gpt55_instant,cd,4.066666666666666
gpt55_instant,ds,4.522222222222222
gpt55_instant,mf,4.2
gpt55_instant,pc,4.233333333333333
gpt55_instant,tp,3.933333333333333
gpt55_light,cd,4.166666666666667
gpt55_light,ds,4.533333333333333
gpt55_light,mf,4.253333333333333
gpt55_light,pc,4.283333333333333
gpt55_light,tp,4.155555555555556
qwen35_instant,cd,4.172413793103448
qwen35_instant,ds,4.512820512820513
qwen35_instant,mf,4.161764705882353
qwen35_instant,pc,4.264150943396227
qwen35_instant,tp,4.219512195121951
qwen35_light,cd,4.033333333333333
qwen35_light,ds,4.533333333333333
qwen35_light,mf,4.208333333333333
qwen35_light,pc,4.233333333333333
qwen35_light,tp,4.204545454545454
